name,empty_slots,free_bikes,latitude,longitude,yelp_center_dist,yelp_college_dist,fsq_center_dist,fsq_college_dist
25th & Diamond,11,5,39.98717,-75.17477,617.5659569915616,1692.991402828672,537.0,1518
"Parkside & Belmont, Case Building",2,11,39.97779,-75.21323,1022.6737088175888,1456.6936327118342,,2024
Del. River Trail & Penn St.,3,14,39.96175,-75.13641,215.9421634570679,953.3115307023832,110.0,1780
Philadelphia Zoo,9,3,39.97472,-75.19781,1089.2072896892337,1280.6108770914725,,1816
48th & Spruce,10,6,39.95373,-75.21825,197.0029979834711,931.0129166452416,552.0,931
22nd & Federal,8,9,39.93775,-75.18012,307.81470326867765,1457.1465167703152,101.0,1772
Barnes Foundation,18,3,39.96006,-75.17198,460.4159697451456,316.58286322451966,217.0,543
42nd & Lancaster,11,6,39.96674,-75.20799,83.30962866183269,153.5166776025319,94.0,736
"46th Street Station, MFL",15,5,39.95866,-75.21323,315.02386663899347,630.3041826770221,323.0,522
Broad & Passyunk ,11,4,39.92552,-75.16904,92.54910603062396,2225.013624862811,57.0,899
2nd & Market,12,14,39.95012,-75.14472,63.22973941534347,614.9116956791541,57.0,684
"18th & Fernon, Aquinas Center",7,11,39.93082,-75.17474,174.9289829874595,1776.8267730754958,206.0,1655
"Girard Station, MFL",11,14,39.96849,-75.13546,104.41839897355348,1613.6478896628685,97.0,2047
17th & Spring Garden,14,7,39.96289,-75.16606,206.63387535145168,38.53744082430585,133.0,67
Ridge & Master,12,5,39.97583,-75.16846,722.6422968624497,1094.7030633359218,624.0,313
Foglietta Plaza,14,14,39.94509,-75.1425,335.30318988324103,1104.7439363428923,110.0,1116
"15th & Castle, DiSilvestro Playground",7,9,39.92884,-75.17021,227.21033384276512,1873.714070214637,55.0,1232
15th & South,6,9,39.94391,-75.16735,44.85341999287582,191.6077725262516,193.0,946
31st & Girard,8,11,39.97522,-75.18669,275.4729965053182,2033.4616108349635,177.0,1342
22nd & Cecil B. Moore,15,1,39.98004,-75.17088,904.2103635536722,1180.9015494464563,253.0,692
Darien & Catharine,22,7,39.93935,-75.15716,72.77173653738267,1027.8674062510215,166.0,1031
13th & Montgomery,6,15,39.98005,-75.15522,347.3096353549764,53.52850820814995,237.0,39
Pennsylvania Convention Center,14,6,39.95424,-75.16138,252.94375337658613,305.60021773138936,243.0,558
11th & Reed,10,6,39.93315,-75.16248,115.63447273439938,1401.4261068807418,109.0,1431
Dornsife Center,10,9,39.96271,-75.19419,398.5080813415133,767.0821088247815,167.0,740
4th & Christian,10,13,39.93704,-75.15038,118.54941611617282,1397.0817520333128,119.0,1442
Broad & Federal,4,11,39.93549,-75.16711,66.70730786572726,1106.1088589268036,49.0,1647
"39th & Mt. Vernon, Mantua Haverford Community Center",12,5,39.96411,-75.19973,310.7455769497165,639.6639020855533,313.0,789
