name,empty_slots,free_bikes,latitude,longitude,yelp_center_dist,yelp_college_dist,fsq_center_dist,fsq_college_dist,total_slots,pct_usage,usage_cat,bin_usage
24th & Sansom,9,6,39.95197,-75.17943,52.40461543536248,557.957199866244,107.0,884,15,60.0,Low,0
9th & Arch,9,6,39.95339,-75.15426,160.64053266933666,221.71643747557255,84.0,251,15,60.0,Low,0
23rd & Fairmount,30,7,39.96744,-75.17507,91.7000691936394,884.9574930654915,195.0,786,37,81.08108108108108,High,1
9th & Locust,16,9,39.94732,-75.15695,109.61705734158492,198.09193579788607,105.0,172,25,64.0,Low,0
Point Breeze & Tasker,13,6,39.93231,-75.18154,449.8973338044639,1947.6954344232236,363.0,2159,19,68.42105263157895,High,1
Rodin Museum,21,13,39.9625,-75.1742,351.49672165538504,617.4179359863722,77.0,671,34,61.76470588235294,Low,0
8th & Market,12,3,39.95112,-75.15457,131.627277104137,167.1097353391734,164.0,180,15,80.0,High,1
Broad & Oxford,15,7,39.97669,-75.15813,66.87592509021508,414.2633706594556,167.0,275,22,68.18181818181817,High,1
20th & Fairmount,7,12,39.96716,-75.17001,27.89025218668712,556.3953828781616,224.0,623,19,36.84210526315789,Low,0
Broad & Ritner,19,4,39.92083,-75.17033,197.51751380573376,2755.796977951796,180.0,800,23,82.6086956521739,High,1
25th & Diamond,11,5,39.98717,-75.17477,617.5659569915616,1692.991402828672,537.0,1518,16,68.75,High,1
Del. River Trail & Penn St.,3,14,39.96175,-75.13641,215.9421634570679,953.3115307023832,110.0,1780,17,17.647058823529413,Low,0
48th & Spruce,10,6,39.95373,-75.21825,197.0029979834711,931.0129166452416,552.0,931,16,62.5,Low,0
22nd & Federal,8,9,39.93775,-75.18012,307.81470326867765,1457.1465167703152,101.0,1772,17,47.05882352941176,Low,0
Barnes Foundation,18,3,39.96006,-75.17198,460.4159697451456,316.58286322451966,217.0,543,21,85.71428571428571,High,1
42nd & Lancaster,11,6,39.96674,-75.20799,83.30962866183269,153.5166776025319,94.0,736,17,64.70588235294117,High,1
"46th Street Station, MFL",15,5,39.95866,-75.21323,315.02386663899347,630.3041826770221,323.0,522,20,75.0,High,1
Broad & Passyunk ,11,4,39.92552,-75.16904,92.54910603062396,2225.013624862811,57.0,899,15,73.33333333333333,High,1
2nd & Market,12,14,39.95012,-75.14472,63.22973941534347,614.9116956791541,57.0,684,26,46.15384615384615,Low,0
"18th & Fernon, Aquinas Center",7,11,39.93082,-75.17474,174.9289829874595,1776.8267730754958,206.0,1655,18,38.88888888888889,Low,0
"Girard Station, MFL",11,14,39.96849,-75.13546,104.41839897355348,1613.6478896628685,97.0,2047,25,44.0,Low,0
17th & Spring Garden,14,7,39.96289,-75.16606,206.63387535145168,38.53744082430585,133.0,67,21,66.66666666666666,High,1
Ridge & Master,12,5,39.97583,-75.16846,722.6422968624497,1094.7030633359218,624.0,313,17,70.58823529411765,High,1
Foglietta Plaza,14,14,39.94509,-75.1425,335.30318988324103,1104.7439363428923,110.0,1116,28,50.0,Low,0
"15th & Castle, DiSilvestro Playground",7,9,39.92884,-75.17021,227.21033384276512,1873.714070214637,55.0,1232,16,43.75,Low,0
15th & South,6,9,39.94391,-75.16735,44.85341999287582,191.6077725262516,193.0,946,15,40.0,Low,0
31st & Girard,8,11,39.97522,-75.18669,275.4729965053182,2033.4616108349635,177.0,1342,19,42.10526315789473,Low,0
22nd & Cecil B. Moore,15,1,39.98004,-75.17088,904.2103635536722,1180.9015494464563,253.0,692,16,93.75,High,1
Darien & Catharine,22,7,39.93935,-75.15716,72.77173653738267,1027.8674062510215,166.0,1031,29,75.86206896551724,High,1
13th & Montgomery,6,15,39.98005,-75.15522,347.3096353549764,53.52850820814995,237.0,39,21,28.57142857142857,Low,0
Pennsylvania Convention Center,14,6,39.95424,-75.16138,252.94375337658613,305.60021773138936,243.0,558,20,70.0,High,1
11th & Reed,10,6,39.93315,-75.16248,115.63447273439938,1401.4261068807418,109.0,1431,16,62.5,Low,0
Dornsife Center,10,9,39.96271,-75.19419,398.5080813415133,767.0821088247815,167.0,740,19,52.63157894736842,Low,0
4th & Christian,10,13,39.93704,-75.15038,118.54941611617282,1397.0817520333128,119.0,1442,23,43.47826086956522,Low,0
Broad & Federal,4,11,39.93549,-75.16711,66.70730786572726,1106.1088589268036,49.0,1647,15,26.666666666666668,Low,0
"39th & Mt. Vernon, Mantua Haverford Community Center",12,5,39.96411,-75.19973,310.7455769497165,639.6639020855533,313.0,789,17,70.58823529411765,High,1
11th & Washington,8,7,39.93724,-75.1612,413.82353385863024,1006.1988289664056,225.0,1290,15,53.333333333333336,Low,0
"43rd & Chester, Clark Park",10,9,39.94822,-75.20908,392.9224227722896,223.6608945844726,306.0,223,19,52.63157894736842,Low,0
36th & Sansom,7,10,39.9538,-75.19479,375.680027370314,94.72002875315178,122.0,81,17,41.17647058823529,Low,0
4th & Bainbridge,7,8,39.94061,-75.14958,77.01356853536922,1063.8614263958189,50.0,1146,15,46.666666666666664,Low,0
18th & JFK,26,8,39.9539,-75.16902,147.28134138402447,83.88653011185663,49.0,730,34,76.47058823529412,High,1
Broad & Diamond,12,6,39.98492,-75.15668,540.1238279634026,429.65382440966766,314.0,118,18,66.66666666666666,High,1
16th & Chestnut,11,7,39.95134,-75.16758,44.29371758318168,203.15481668782476,47.0,864,18,61.111111111111114,Low,0
45th & Baltimore,3,10,39.949,-75.21278,70.83527579883521,488.4207953348893,65.0,494,13,23.076923076923077,Low,0
"19th & Girard, PTTI",13,5,39.97263,-75.16757,424.38444521530135,1081.6043721937083,327.0,322,18,72.22222222222221,High,1
34th & Spruce,16,12,39.95048,-75.19324,501.15773461986106,121.47399613594357,301.0,69,28,57.14285714285714,Low,0
10th & Chestnut,11,9,39.95005,-75.15672,133.38683074634042,149.52599521343666,64.0,198,20,55.00000000000001,Low,0
18th & Christian,15,5,39.94077,-75.17227,31.765978477448197,727.7361186993952,11.0,1489,20,75.0,High,1
17th & Green,19,2,39.96437,-75.16582,197.45603530109827,169.7881052490108,104.0,232,21,90.47619047619048,High,1
Amtrak 30th Street Station,9,12,39.95472,-75.18323,312.5757123971979,120.0239951962934,292.0,644,21,42.857142857142854,Low,0
Corinthian & Poplar,21,1,39.97172,-75.1706,484.87465820048703,1037.0162676535856,163.0,235,22,95.45454545454545,High,1
"21st & Winter, Franklin Institute",19,6,39.95886,-75.17369,520.720973658645,233.7021262111205,264.0,735,25,76.0,High,1
Health Sciences Drive,16,6,39.94573,-75.19551,788.3670982724566,192.0540262728612,779.0,266,22,72.72727272727273,High,1
"Spring Garden Station, BSL",17,3,39.96244,-75.16121,145.85216391314611,221.06077284278905,123.0,406,20,85.0,High,1
16th & Arch,14,6,39.95523,-75.1662,130.89788411825515,100.18503832280312,206.0,472,20,70.0,High,1
19th & Market,16,1,39.95355,-75.17192,69.96610751589532,171.1111257763445,70.0,932,17,94.11764705882352,High,1
ParkWest Town Center,13,1,39.97841,-75.22399,103.339479733391,2032.47347932366,110.0,2032,14,92.85714285714286,High,1
2nd & Norris,6,11,39.98101,-75.13721,253.4990445705557,1468.1534862467452,228.0,1194,17,35.294117647058826,Low,0
Schuylkill Banks Pergola,29,3,39.96383,-75.18177,122.93243985753648,999.5540648235728,391.0,1087,32,90.625,High,1
Race & Franklin ,12,7,39.95501,-75.15208,344.6296059286271,56.61394019907423,316.0,386,19,63.1578947368421,Low,0
16th & Callowhill,18,4,39.96,-75.1651,272.62376181090553,211.4417492499558,145.0,172,22,81.81818181818183,High,1
Broad & Oregon,8,13,39.91717,-75.17096,382.9030564093528,3166.296687610596,322.0,921,21,38.095238095238095,Low,0
24th & Pennsylvania ,18,0,39.96566,-75.17765,299.51046626567535,996.6782088018248,125.0,1033,18,100.0,High,1
6th & S Washington Square,6,15,39.94628,-75.15138,123.68158845849248,478.15661125341126,207.0,594,21,28.57142857142857,Low,0
2nd & Lombard,10,5,39.94182,-75.1455,85.36916295962385,1180.9238622289463,295.0,1236,15,66.66666666666666,High,1
44th & Haverford,13,3,39.96277,-75.21185,469.6735817006617,520.5556815662478,413.0,479,16,81.25,High,1
8th & Diamond,14,3,39.9835,-75.14743,900.1602860057483,661.1068386728006,225.0,282,17,82.35294117647058,High,1
Broad & Cecil B Moore,5,15,39.97887,-75.15777,179.47459045739458,173.07553657739817,81.0,48,20,25.0,Low,0
Broad & Carpenter,10,12,39.93865,-75.16674,295.4980699053562,753.4667752278226,99.0,1329,22,45.45454545454545,Low,0
47th & Aspen - Lucien Blackwell,8,7,39.96538,-75.21514,580.5163595639676,695.7693330113875,34.0,880,15,53.333333333333336,Low,0
50th & Baltimore,17,3,39.94782,-75.22301,105.3764325266512,1269.506256084288,483.0,1278,20,85.0,High,1
24th & Christian,19,3,39.94213,-75.18335,395.0044988214438,998.3247267154912,259.0,1213,22,86.36363636363636,High,1
34th & Arch,16,6,39.95784,-75.19079,111.16835117057724,154.31877895051164,111.0,130,22,72.72727272727273,High,1
29th & Tasker,7,10,39.93366,-75.19319,867.3751329070442,1538.9060781434796,652.0,1619,17,41.17647058823529,Low,0
34th & Chestnut,12,10,39.95441,-75.192,297.34652190280553,192.62014472677987,114.0,100,22,54.54545454545454,Low,0
30th & Oakford,13,5,39.93882,-75.19324,569.8575513239821,979.91234147589,430.0,1058,18,72.22222222222221,High,1
27th & Morris - Vare Recreation Center,15,6,39.93174,-75.18996,921.702360379596,1781.9245941973386,313.0,1891,21,71.42857142857143,High,1
Broad & Chestnut,8,5,39.95095,-75.16438,72.33816184037848,99.0157581214974,81.0,596,13,61.53846153846154,Low,0
23rd & Chestnut,10,13,39.95269,-75.17779,81.01320659964588,635.2898592974426,54.0,1028,23,43.47826086956522,Low,0
16th & Montgomery,14,4,39.98091,-75.16065,127.87547507828796,315.7836067063812,235.0,241,18,77.77777777777779,High,1
4th & Wood,16,3,39.95673,-75.14575,198.2174322927224,176.02624192685508,245.0,815,19,84.21052631578947,High,1
24th & Race SRT,13,8,39.95819,-75.1782,510.318845562013,540.5979603870363,288.0,1060,21,61.904761904761905,Low,0
2nd & Snyder,9,11,39.9216,-75.15,745.2038020405815,2989.07057994416,198.0,944,20,45.0,Low,0
52nd & Chestnut,13,6,39.95828,-75.22424,36.61529390918257,1472.0593631006511,523.0,1448,19,68.42105263157895,High,1
Broad & Girard,10,6,39.97157,-75.15993,297.3925863336508,1003.7404274122462,133.0,336,16,62.5,Low,0
Race Street Pier,7,9,39.95367,-75.13956,218.87074971585352,456.0767702608494,134.0,1129,16,43.75,Low,0
2nd & Brown,6,10,39.96304,-75.14099,27.211399533300668,868.7599495844223,53.0,1611,16,37.5,Low,0
The Children's Hospital of Philadelphia (CHOP),14,14,39.94781,-75.19409,582.802196340311,128.54829492905446,556.0,203,28,50.0,Low,0
Temple University Station,8,8,39.98081,-75.15067,732.5577997061142,321.6862689235609,301.0,174,16,50.0,Low,0
Water & Mifflin,14,8,39.9237,-75.14701,458.7897097908836,2900.00795370638,328.0,1246,22,63.63636363636363,Low,0
19th & Oregon,17,5,39.918,-75.1796,407.2094634911022,3253.869667929269,250.0,1609,22,77.27272727272727,High,1
43rd & Powelton,11,7,39.9586,-75.2081,250.89402324701484,392.7481453146318,263.0,179,18,61.111111111111114,Low,0
53rd & Baltimore,18,0,39.9476,-75.22946,445.6879706123856,1813.88898333444,771.0,1822,18,100.0,High,1
50th & Haverford,16,6,39.96405,-75.22048,751.8727773702337,1163.2354882048949,504.0,1196,22,72.72727272727273,High,1
Powelton & Lancaster,10,3,39.95957,-75.19633,166.98911440758218,443.30297996941937,203.0,591,13,76.92307692307693,High,1
17th & Locust,27,3,39.94892,-75.16991,97.14933205733315,370.8436916294472,98.0,1008,30,90.0,High,1
12th & Fairmount,12,5,39.96569,-75.15679,357.39002625613176,709.4800327446304,358.0,500,17,70.58823529411765,High,1
York & Aramingo,10,11,39.97576,-75.12157,26.44521310702606,2859.728658246226,60.0,2643,21,47.61904761904761,Low,0
Ridge & Ferry,6,15,40.00773,-75.19196,103.89557190288572,1222.8045711424688,95.0,1328,21,28.57142857142857,Low,0
8th & Spruce,12,11,39.94571,-75.15508,113.33184305696813,359.0664776855071,115.0,410,23,52.17391304347826,Low,0
University City Station,16,20,39.94855,-75.19007,232.02302974241687,178.81542260750314,638.0,368,36,44.44444444444444,Low,0
20th & Berks,15,3,39.98306,-75.16738,749.1200282762068,933.4546674382574,396.0,823,18,83.33333333333334,High,1
22nd & Sedgley,15,8,39.99301,-75.1681,1467.8779459610323,1697.632272480355,922.0,1439,23,65.21739130434783,High,1
13th & Mifflin,14,4,39.9265,-75.1668,87.21709921107926,2103.8690281076256,89.0,848,18,77.77777777777779,High,1
50th & Woodland,16,2,39.93968,-75.21362,471.28591853134986,868.1013863788136,964.0,752,18,88.88888888888889,High,1
10th & Nevada,20,0,39.98628,-75.14925,969.9225703819424,739.2746902955835,205.0,272,20,100.0,High,1
Lindbergh & Wheeler,9,12,39.9323,-75.2162,1022.5363757630043,1699.1974690619652,985.0,1569,21,42.857142857142854,Low,0
25th & Locust,8,14,39.94974,-75.18097,117.66982708859258,669.2571853036408,372.0,789,22,36.36363636363637,Low,0
49th & Chester,14,2,39.94367,-75.21606,349.47519935399737,727.8824497734604,563.0,688,16,87.5,High,1
Philadelphia Museum of Art,24,1,39.96439,-75.17987,100.29640155358447,1043.2212008122813,290.0,1176,25,96.0,High,1
6th & Brown,11,10,39.96409,-75.14769,167.57304523155648,984.3302254595274,257.0,1256,21,52.38095238095239,Low,0
Midvale & Cresson,18,7,40.01112,-75.19287,308.2292623187884,846.9519291831241,426.0,950,25,72.0,High,1
Ridge & Heritage,24,5,40.01022,-75.197,607.5684211037727,1027.0577719991456,598.0,1112,29,82.75862068965517,High,1
"Independence Mall, NPS",16,3,39.95073,-75.14947,259.41323603643895,275.95301562697875,195.0,276,19,84.21052631578947,High,1
12th & Chestnut,13,8,39.95028,-75.16027,51.2936399601172,292.7922274631149,43.0,263,21,61.904761904761905,Low,0
18th & Chestnut,13,7,39.95174,-75.17063,81.21227409040893,101.08689052172818,98.0,1004,20,65.0,High,1
42nd & Woodland,19,2,39.94717,-75.20691,561.3200391263764,148.6885266029679,405.0,138,21,90.47619047619048,High,1
5th & Willow,10,8,39.95946,-75.14745,244.4926423356648,504.7390255642948,258.0,979,18,55.55555555555556,Low,0
Broad & Cherry,9,4,39.95511,-75.16287,170.36745717465357,288.13486436526654,300.0,433,13,69.23076923076923,High,1
9th & Lombard,16,5,39.94332,-75.15698,52.19534705724718,626.4575396658639,53.0,594,21,76.19047619047619,High,1
18th & Walnut,8,5,39.95029,-75.17126,116.50210052702737,257.5758046583699,156.0,1138,13,61.53846153846154,Low,0
18th & Vine,17,2,39.95821,-75.16901,430.9703202736023,276.8896236131424,266.0,471,19,89.47368421052632,High,1
5th & Wolf,13,12,39.92,-75.1562,589.5230101989446,2953.371628007423,517.0,407,25,52.0,Low,0
24th & Seybert,7,1,39.97595,-75.17509,329.05984573859035,1614.0696515225852,325.0,419,8,87.5,High,1
7th & South,11,10,39.94234,-75.15399,38.22378248385246,744.7939250540442,45.0,778,21,52.38095238095239,Low,0
22nd & Lehigh,12,11,39.99569,-75.1671,1661.0872489034866,1897.4364826946323,655.0,1601,23,52.17391304347826,Low,0
28th & Lehigh,16,1,39.99683,-75.17761,1103.8213178370363,2539.0021898612786,687.0,2322,17,94.11764705882352,High,1
27th & Clearfield,13,8,40.0028,-75.174,696.8178465489796,2358.491510694512,396.0,1860,21,61.904761904761905,Low,0
"52nd Street Station, MFL",11,8,39.96004,-75.2244,232.17787601854292,1543.6128938500042,717.0,1447,19,57.89473684210527,Low,0
41st & Chestnut,13,12,39.9559,-75.2053,81.72253957078524,205.5731835882338,87.0,204,25,52.0,Low,0
Oxford & Glenwood,4,10,39.98024,-75.18651,106.88462866747766,2386.264419649308,303.0,1499,14,28.57142857142857,Low,0
10th & Oregon,10,14,39.9158,-75.1643,352.08704333943246,3297.3732582663606,354.0,577,24,41.66666666666667,Low,0
48th & Woodland,14,3,39.94235,-75.21138,638.0188693798406,515.1716375293979,692.0,402,17,82.35294117647058,High,1
16th & Wolf,12,7,39.92255,-75.17337,227.79506932936533,2613.895689268036,68.0,1086,19,63.1578947368421,Low,0
12th & Carpenter,25,4,39.93866,-75.16351,334.4984929861355,786.906487024873,287.0,1197,29,86.20689655172413,High,1
30th & Reed,9,7,39.93633,-75.19447,761.7128797271579,1227.9298967763923,626.0,1309,16,56.25,Low,0
City Hall South,9,10,39.95182,-75.16395,23.485660782678213,178.50170439353968,111.0,614,19,47.368421052631575,Low,0
Front & Queen,9,7,39.93682,-75.14492,267.39222804369456,1633.103448909896,83.0,1724,16,56.25,Low,0
Broad & Master,13,4,39.9746,-75.15917,71.47241534493652,661.566456052106,46.0,489,17,76.47058823529412,High,1
20th & Cuthbert,9,12,39.95485,-75.17298,87.54059474892657,271.60329424754684,49.0,923,21,42.857142857142854,Low,0
Penn Treaty Park,11,5,39.96672,-75.12964,343.54457289789605,1752.0610397065273,341.0,2460,16,68.75,High,1
Manayunk Bridge,17,5,40.02796,-75.2277,156.89059115725448,2765.760498288348,177.0,2936,22,77.27272727272727,High,1
Cresson & Levering,6,11,40.02651,-75.22445,42.216744277161766,2524.9142618499404,18.0,2636,17,35.294117647058826,Low,0
6th & Master,18,3,39.97318,-75.14612,229.95460229947096,1117.8767421645953,222.0,1061,21,85.71428571428571,High,1
7th & Dickinson,13,6,39.9302,-75.15636,144.15701606258588,1890.7016594191189,141.0,1165,19,68.42105263157895,High,1
7th & Passyunk,9,4,39.93638,-75.15526,316.2950519548185,1374.2713447431947,198.0,1379,13,69.23076923076923,High,1
36th & Filbert,14,6,39.95719,-75.19388,185.60128636321664,163.61986084370824,79.0,293,20,70.0,High,1
54th & Cedar,9,12,39.95098,-75.23035,637.5600143158022,1954.234610369918,548.0,1962,21,42.857142857142854,Low,0
Main & Shurs,16,4,40.02237,-75.218,165.91260224832772,1970.494085890272,80.0,2060,20,80.0,High,1
Pencoyd Bridge,14,6,40.0163,-75.21241,206.15073382488,1328.8595202054923,123.0,1718,20,70.0,High,1
23rd & South,8,12,39.94527,-75.17971,201.4952070084415,1129.8316080544098,201.0,1130,20,40.0,Low,0
Grays Ferry & Pemberton,10,6,39.94426,-75.18134,355.39066107001935,1030.6425687828007,264.0,1111,16,62.5,Low,0
York & Gaul,16,1,39.97759,-75.12442,251.06178714610516,2585.1423935140547,239.0,2347,17,94.11764705882352,High,1
27th & Pennsylvania,11,6,39.96906,-75.18169,267.921212816852,1462.0519951605,285.0,1049,17,64.70588235294117,High,1
52nd & Larchwood - Malcolm X Park,9,9,39.95225,-75.22637,539.7318455017448,1641.490479516398,195.0,1641,18,50.0,Low,0
Girard & Palmer,15,5,39.97116,-75.12813,253.72113165702348,2206.1698883110007,256.0,2372,20,75.0,High,1
Municipal Services Building,14,5,39.95376,-75.16474,137.06528393349484,305.6218820811447,128.0,588,19,73.68421052631578,High,1
32nd & Allegheny,10,11,40.00537,-75.18143,380.62123908196384,1749.5184145811666,332.0,1856,21,47.61904761904761,Low,0
York & Trenton,8,13,39.98131,-75.12732,96.29872327568948,2311.142773240856,87.0,2010,21,38.095238095238095,Low,0
22nd & Spring Garden,15,5,39.9639,-75.17385,266.4847611854556,634.8238821873906,123.0,664,20,75.0,High,1
18th & JFK Curbside,16,9,39.9541,-75.16965,89.57037427777897,31.93966564641768,43.0,749,25,64.0,Low,0
21st & Washington,13,3,39.93906,-75.17824,214.2252359792482,1242.1749838500798,194.0,1730,16,81.25,High,1
56th & Chestnut,12,11,39.95961,-75.23354,809.1415647755323,2277.515007349214,716.0,2056,23,52.17391304347826,Low,0
Cedar & Norris,16,5,39.9768,-75.12764,41.73247164548495,2329.82401934558,41.0,2120,21,76.19047619047619,High,1
5th & Spring Garden,19,2,39.9617,-75.14667,30.82614903239723,704.7565375745669,22.0,1233,21,90.47619047619048,High,1
6th & Chestnut,15,2,39.94883,-75.15097,176.4816238564148,308.0522192610975,170.0,330,17,88.23529411764706,High,1
9th & Race,12,8,39.95484,-75.15449,150.15872908198074,150.0071038277359,246.0,401,20,60.0,Low,0
27th & Master,18,3,39.97719,-75.17952,373.51433166956537,1934.2513067160696,251.0,814,21,85.71428571428571,High,1
Frankford & Belgrade,3,17,39.97195,-75.13445,70.63432495496218,1975.7749890739203,63.0,1867,20,15.0,Low,0
17th & JFK,18,4,39.95405,-75.16783,237.47399381334847,184.8160227564676,151.0,656,22,81.81818181818183,High,1
25th & Wharton,10,10,39.93651,-75.18621,348.6789079779749,1351.8495307577466,227.0,1548,20,50.0,Low,0
Broad & Lehigh,17,3,39.99415,-75.15527,1179.2503679079584,1440.880033431312,400.0,1125,20,85.0,High,1
